fecha,precio_subyacente,call_precio,put_precio,strike,vencimiento,volatilidad_implicita,volumen_call,volumen_put
2024-06-03,100.0,1.8,2.57,100.0,2024-07-01,0.1873,1428,1915
2024-06-04,98.03,1.99,2.69,100.0,2024-07-01,0.2069,1148,1549
2024-06-05,100.18,2.26,2.17,100.0,2024-07-01,0.2964,3010,1469
2024-06-06,100.95,2.69,1.28,100.0,2024-07-01,0.2642,2186,2322
2024-06-07,98.11,2.13,5.23,100.0,2024-07-01,0.2669,2757,2539
2024-06-10,97.17,1.52,4.48,100.0,2024-07-01,0.3619,3702,1479
2024-06-11,100.57,3.22,2.56,100.0,2024-07-01,0.2515,3794,2880
2024-06-12,95.89,1.74,6.63,100.0,2024-07-01,0.3035,2627,1156
2024-06-13,95.26,2.53,6.89,100.0,2024-07-01,0.3209,2219,1223
2024-06-14,97.86,2.33,3.82,100.0,2024-07-01,0.26,3301,1313
2024-06-17,96.36,2.56,5.48,100.0,2024-07-01,0.1438,2321,1444
2024-06-18,95.25,2.68,6.46,100.0,2024-07-01,0.1697,3575,2371
2024-06-19,95.26,1.52,6.44,100.0,2024-07-01,0.2343,1518,3105
2024-06-20,98.29,2.64,3.14,100.0,2024-07-01,0.2582,2591,2661
2024-06-21,97.23,2.57,4.28,100.0,2024-07-01,0.2332,1437,2167
2024-06-24,96.56,2.36,4.48,100.0,2024-07-01,0.231,2933,3440
2024-06-25,95.92,2.05,6.21,100.0,2024-07-01,0.2488,1060,2167
2024-06-26,100.34,2.14,2.64,100.0,2024-07-01,0.1697,1941,2292
2024-06-27,104.93,7.09,1.34,100.0,2024-07-01,0.3006,2144,3026
2024-06-28,107.25,9.12,1.73,100.0,2024-07-01,0.1487,2415,2283
2024-07-01,108.29,10.15,2.41,100.0,2024-07-01,0.3304,2654,2109
2024-07-02,110.1,11.6,1.45,100.0,2024-07-01,0.2218,1755,1991
2024-07-03,113.6,15.75,1.71,100.0,2024-07-01,0.288,3392,2562
2024-07-04,111.71,13.28,2.05,100.0,2024-07-01,0.2323,3088,1969
